funder;fos;university;year;funding
nicht bekannt / nicht zuordenbar;Agrarbiotechnologie, Lebensmittelbiotechnologie;Universität für Bodenkultur Wien;2018;94
nicht bekannt / nicht zuordenbar;Andere Agrarwissenschaften;Universität für Bodenkultur Wien;2018;-5951
nicht bekannt / nicht zuordenbar;Andere Geisteswissenschaften;Universität für Bodenkultur Wien;2018;221
nicht bekannt / nicht zuordenbar;Andere Humanmedizin, Gesundheitswissenschaften;Universität für Bodenkultur Wien;2018;33721
nicht bekannt / nicht zuordenbar;Andere Naturwissenschaften;Universität für Bodenkultur Wien;2018;-17700
nicht bekannt / nicht zuordenbar;Andere Sozialwissenschaften;Universität für Bodenkultur Wien;2018;-12248
nicht bekannt / nicht zuordenbar;Andere Technische Wissenschaften;Universität für Bodenkultur Wien;2018;383
nicht bekannt / nicht zuordenbar;Bauwesen;Universität für Bodenkultur Wien;2018;20090
nicht bekannt / nicht zuordenbar;Biologie;Universität für Bodenkultur Wien;2018;-3966
nicht bekannt / nicht zuordenbar;Chemie;Universität für Bodenkultur Wien;2018;910
nicht bekannt / nicht zuordenbar;Chemische Verfahrenstechnik;Universität für Bodenkultur Wien;2018;164
nicht bekannt / nicht zuordenbar;Geowissenschaften;Universität für Bodenkultur Wien;2018;32928
nicht bekannt / nicht zuordenbar;Geschichte, Archäologie;Universität für Bodenkultur Wien;2018;155
nicht bekannt / nicht zuordenbar;Humangeographie, Regionale Geographie, Raumplanung;Universität für Bodenkultur Wien;2018;1021
nicht bekannt / nicht zuordenbar;Industrielle Biotechnologie;Universität für Bodenkultur Wien;2018;375
nicht bekannt / nicht zuordenbar;Informatik;Universität für Bodenkultur Wien;2018;0
nicht bekannt / nicht zuordenbar;Kunstwissenschaften;Universität für Bodenkultur Wien;2018;62
nicht bekannt / nicht zuordenbar;Land- und Forstwirtschaft, Fischerei;Universität für Bodenkultur Wien;2018;9860
nicht bekannt / nicht zuordenbar;Maschinenbau;Universität für Bodenkultur Wien;2018;1575
nicht bekannt / nicht zuordenbar;Mathematik;Universität für Bodenkultur Wien;2018;2531
nicht bekannt / nicht zuordenbar;Medizinische Biotechnologie;Universität für Bodenkultur Wien;2018;281
nicht bekannt / nicht zuordenbar;Medizinisch-theoretische Wissenschaften, Pharmazie;Universität für Bodenkultur Wien;2018;243
nicht bekannt / nicht zuordenbar;Physik, Astronomie;Universität für Bodenkultur Wien;2018;5775
nicht bekannt / nicht zuordenbar;Politikwissenschaften;Universität für Bodenkultur Wien;2018;39
nicht bekannt / nicht zuordenbar;Psychologie;Universität für Bodenkultur Wien;2018;4497
nicht bekannt / nicht zuordenbar;Rechtswissenschaften;Universität für Bodenkultur Wien;2018;198
nicht bekannt / nicht zuordenbar;Soziologie;Universität für Bodenkultur Wien;2018;473
nicht bekannt / nicht zuordenbar;Tierzucht, Tierproduktion;Universität für Bodenkultur Wien;2018;100
nicht bekannt / nicht zuordenbar;Umweltingenieurwesen, Angewandte Geowissenschaften;Universität für Bodenkultur Wien;2018;21290
nicht bekannt / nicht zuordenbar;Wirtschaftswissenschaften;Universität für Bodenkultur Wien;2018;14967
EU;Agrarbiotechnologie, Lebensmittelbiotechnologie;Universität für Bodenkultur Wien;2018;218540
EU;Agrarbiotechnologie, Lebensmittelbiotechnologie;Universität für Bodenkultur Wien;2017;71531
EU;Agrarbiotechnologie, Lebensmittelbiotechnologie;Universität für Bodenkultur Wien;2016;30221
EU;Andere Agrarwissenschaften;Universität Wien;2018;11324
EU;Andere Agrarwissenschaften;Universität Wien;2017;11317
EU;Andere Agrarwissenschaften;Universität Wien;2016;2470
EU;Andere Agrarwissenschaften;Universität für Bodenkultur Wien;2018;130874
EU;Andere Agrarwissenschaften;Universität für Bodenkultur Wien;2017;64671
EU;Andere Agrarwissenschaften;Universität für Bodenkultur Wien;2016;203180
EU;Andere Agrarwissenschaften;Universität Klagenfurt;2018;35744
EU;Andere Agrarwissenschaften;Universität Klagenfurt;2017;1660
EU;Andere Agrarwissenschaften;Universität Klagenfurt;2016;38855
EU;Andere Geisteswissenschaften;Universität Wien;2018;7985
EU;Andere Geisteswissenschaften;Universität Wien;2017;0
EU;Andere Geisteswissenschaften;Universität Wien;2016;0
EU;Andere Geisteswissenschaften;Universität Innsbruck;2018;0
EU;Andere Geisteswissenschaften;Universität Innsbruck;2017;35170
EU;Andere Geisteswissenschaften;Universität Innsbruck;2016;39000
EU;Andere Geisteswissenschaften;Universität Salzburg;2018;0
EU;Andere Geisteswissenschaften;Universität Salzburg;2017;0
EU;Andere Geisteswissenschaften;Universität Salzburg;2016;793073
EU;Andere Geisteswissenschaften;Technische Universität Wien;2018;0
EU;Andere Geisteswissenschaften;Technische Universität Wien;2017;34063
EU;Andere Geisteswissenschaften;Technische Universität Wien;2016;28690
EU;Andere Geisteswissenschaften;Universität für Bodenkultur Wien;2018;3655
EU;Andere Geisteswissenschaften;Universität für Bodenkultur Wien;2017;15979
EU;Andere Geisteswissenschaften;Universität für Bodenkultur Wien;2016;35856
EU;Andere Geisteswissenschaften;Universität Klagenfurt;2018;35623
EU;Andere Geisteswissenschaften;Universität Klagenfurt;2017;38322
EU;Andere Geisteswissenschaften;Universität Klagenfurt;2016;45223
EU;Andere Geisteswissenschaften;Universität für angewandte Kunst Wien;2018;0
EU;Andere Geisteswissenschaften;Universität für angewandte Kunst Wien;2017;0
EU;Andere Geisteswissenschaften;Universität für angewandte Kunst Wien;2016;11259
EU;Andere Geisteswissenschaften;Universität für Musik und darstellende Kunst Wien;2018;104670
EU;Andere Geisteswissenschaften;Universität für Musik und darstellende Kunst Wien;2017;0
EU;Andere Geisteswissenschaften;Universität für Musik und darstellende Kunst Wien;2016;0
EU;Andere Geisteswissenschaften;Universität für Weiterbildung Krems;2018;8396
EU;Andere Geisteswissenschaften;Universität für Weiterbildung Krems;2017;0
EU;Andere Geisteswissenschaften;Universität für Weiterbildung Krems;2016;37881
EU;Andere Humanmedizin, Gesundheitswissenschaften;Universität Wien;2018;0
EU;Andere Humanmedizin, Gesundheitswissenschaften;Universität Wien;2017;0
EU;Andere Humanmedizin, Gesundheitswissenschaften;Universität Wien;2016;4755
EU;Andere Humanmedizin, Gesundheitswissenschaften;Medizinische Universität Wien;2018;479880
EU;Andere Humanmedizin, Gesundheitswissenschaften;Medizinische Universität Wien;2017;732404
EU;Andere Humanmedizin, Gesundheitswissenschaften;Medizinische Universität Wien;2016;809793
EU;Andere Humanmedizin, Gesundheitswissenschaften;Medizinische Universität Graz;2018;202966
EU;Andere Humanmedizin, Gesundheitswissenschaften;Medizinische Universität Graz;2017;140776
EU;Andere Humanmedizin, Gesundheitswissenschaften;Medizinische Universität Graz;2016;381965
EU;Andere Humanmedizin, Gesundheitswissenschaften;Medizinische Universität Innsbruck;2018;402632
