funder;fos;university;year;funding
nicht bekannt / nicht zuordenbar;AGRARWISSENSCHAFTEN, VETERINÄRMEDIZIN;Universität für Bodenkultur Wien;2018;4103
nicht bekannt / nicht zuordenbar;GEISTESWISSENSCHAFTEN;Universität für Bodenkultur Wien;2018;438
nicht bekannt / nicht zuordenbar;HUMANMEDIZIN, GESUNDHEITSWISSENSCHAFTEN;Universität für Bodenkultur Wien;2018;34246
nicht bekannt / nicht zuordenbar;NATURWISSENSCHAFTEN;Universität für Bodenkultur Wien;2018;20477
nicht bekannt / nicht zuordenbar;SOZIALWISSENSCHAFTEN;Universität für Bodenkultur Wien;2018;8946
nicht bekannt / nicht zuordenbar;TECHNISCHE WISSENSCHAFTEN;Universität für Bodenkultur Wien;2018;43878
EU;AGRARWISSENSCHAFTEN, VETERINÄRMEDIZIN;Universität Wien;2018;25837
EU;AGRARWISSENSCHAFTEN, VETERINÄRMEDIZIN;Universität Wien;2017;16440
EU;AGRARWISSENSCHAFTEN, VETERINÄRMEDIZIN;Universität Wien;2016;3705
EU;AGRARWISSENSCHAFTEN, VETERINÄRMEDIZIN;Technische Universität Graz;2018;500
EU;AGRARWISSENSCHAFTEN, VETERINÄRMEDIZIN;Technische Universität Graz;2017;38129
EU;AGRARWISSENSCHAFTEN, VETERINÄRMEDIZIN;Technische Universität Graz;2016;27216
EU;AGRARWISSENSCHAFTEN, VETERINÄRMEDIZIN;Universität für Bodenkultur Wien;2018;1357316
EU;AGRARWISSENSCHAFTEN, VETERINÄRMEDIZIN;Universität für Bodenkultur Wien;2017;731969
EU;AGRARWISSENSCHAFTEN, VETERINÄRMEDIZIN;Universität für Bodenkultur Wien;2016;1315187
EU;AGRARWISSENSCHAFTEN, VETERINÄRMEDIZIN;Veterinärmedizinische Universität Wien;2018;248280
EU;AGRARWISSENSCHAFTEN, VETERINÄRMEDIZIN;Veterinärmedizinische Universität Wien;2017;60000
EU;AGRARWISSENSCHAFTEN, VETERINÄRMEDIZIN;Veterinärmedizinische Universität Wien;2016;903666
EU;AGRARWISSENSCHAFTEN, VETERINÄRMEDIZIN;Universität Klagenfurt;2018;35744
EU;AGRARWISSENSCHAFTEN, VETERINÄRMEDIZIN;Universität Klagenfurt;2017;1660
EU;AGRARWISSENSCHAFTEN, VETERINÄRMEDIZIN;Universität Klagenfurt;2016;38855
EU;BILDENDE KUNST / GESTALTENDE KUNST;Universität für angewandte Kunst Wien;2018;114358
EU;BILDENDE KUNST / GESTALTENDE KUNST;Universität für angewandte Kunst Wien;2017;125539
EU;BILDENDE KUNST / GESTALTENDE KUNST;Universität für angewandte Kunst Wien;2016;527562
EU;BILDENDE KUNST / GESTALTENDE KUNST;Akademie der bildenden Künste Wien;2018;0
EU;BILDENDE KUNST / GESTALTENDE KUNST;Akademie der bildenden Künste Wien;2017;2500
EU;BILDENDE KUNST / GESTALTENDE KUNST;Akademie der bildenden Künste Wien;2016;0
EU;BILDENDE KUNST / GESTALTENDE KUNST;Universität für Weiterbildung Krems;2018;55760
EU;BILDENDE KUNST / GESTALTENDE KUNST;Universität für Weiterbildung Krems;2017;15276
EU;BILDENDE KUNST / GESTALTENDE KUNST;Universität für Weiterbildung Krems;2016;18326
EU;DARSTELLENDE KUNST;Universität für Musik und darstellende Kunst Wien;2018;0
EU;DARSTELLENDE KUNST;Universität für Musik und darstellende Kunst Wien;2017;23020
EU;DARSTELLENDE KUNST;Universität für Musik und darstellende Kunst Wien;2016;0
EU;DARSTELLENDE KUNST;Universität für Weiterbildung Krems;2018;24776
EU;DARSTELLENDE KUNST;Universität für Weiterbildung Krems;2017;33169
EU;DARSTELLENDE KUNST;Universität für Weiterbildung Krems;2016;18326
EU;GEISTESWISSENSCHAFTEN;Universität Wien;2018;1905662
EU;GEISTESWISSENSCHAFTEN;Universität Wien;2017;1770521
EU;GEISTESWISSENSCHAFTEN;Universität Wien;2016;1231255
EU;GEISTESWISSENSCHAFTEN;Universität Graz;2018;145679
EU;GEISTESWISSENSCHAFTEN;Universität Graz;2017;217680
EU;GEISTESWISSENSCHAFTEN;Universität Graz;2016;134932
EU;GEISTESWISSENSCHAFTEN;Universität Innsbruck;2018;695133
EU;GEISTESWISSENSCHAFTEN;Universität Innsbruck;2017;319334
EU;GEISTESWISSENSCHAFTEN;Universität Innsbruck;2016;221224
EU;GEISTESWISSENSCHAFTEN;Medizinische Universität Graz;2018;0
EU;GEISTESWISSENSCHAFTEN;Medizinische Universität Graz;2017;2492
EU;GEISTESWISSENSCHAFTEN;Medizinische Universität Graz;2016;3322
EU;GEISTESWISSENSCHAFTEN;Universität Salzburg;2018;0
EU;GEISTESWISSENSCHAFTEN;Universität Salzburg;2017;6646
EU;GEISTESWISSENSCHAFTEN;Universität Salzburg;2016;826405
EU;GEISTESWISSENSCHAFTEN;Technische Universität Wien;2018;0
EU;GEISTESWISSENSCHAFTEN;Technische Universität Wien;2017;34996
EU;GEISTESWISSENSCHAFTEN;Technische Universität Wien;2016;31064
EU;GEISTESWISSENSCHAFTEN;Universität für Bodenkultur Wien;2018;7550
EU;GEISTESWISSENSCHAFTEN;Universität für Bodenkultur Wien;2017;15979
EU;GEISTESWISSENSCHAFTEN;Universität für Bodenkultur Wien;2016;35856
EU;GEISTESWISSENSCHAFTEN;Wirtschaftsuniversität Wien;2018;0
EU;GEISTESWISSENSCHAFTEN;Wirtschaftsuniversität Wien;2017;0
EU;GEISTESWISSENSCHAFTEN;Wirtschaftsuniversität Wien;2016;3445
EU;GEISTESWISSENSCHAFTEN;Universität Klagenfurt;2018;71246
EU;GEISTESWISSENSCHAFTEN;Universität Klagenfurt;2017;82802
EU;GEISTESWISSENSCHAFTEN;Universität Klagenfurt;2016;100221
EU;GEISTESWISSENSCHAFTEN;Universität für angewandte Kunst Wien;2018;0
EU;GEISTESWISSENSCHAFTEN;Universität für angewandte Kunst Wien;2017;0
